State_Code,District,Type,Status,Count
UP,Sonbhadra,delta,vaccinated1,200
UP,Sonbhadra,delta,vaccinated2,157
UP,Sonbhadra,delta7,vaccinated1,21438
UP,Sonbhadra,delta7,vaccinated2,24430
UP,Sonbhadra,meta,population,1862612
UP,Sonbhadra,total,confirmed,16807
UP,Sonbhadra,total,deceased,251
UP,Sonbhadra,total,recovered,16556
UP,Sonbhadra,total,tested,306175
UP,Sonbhadra,total,vaccinated1,812891
UP,Sonbhadra,total,vaccinated2,236871
UP,Sultanpur,delta,vaccinated1,2
UP,Sultanpur,delta,vaccinated2,18
UP,Sultanpur,delta7,vaccinated1,14962
UP,Sultanpur,delta7,vaccinated2,31247
UP,Sultanpur,meta,population,3790922
UP,Sultanpur,total,confirmed,14915
UP,Sultanpur,total,deceased,138
UP,Sultanpur,total,recovered,14777
UP,Sultanpur,total,tested,309395
UP,Sultanpur,total,vaccinated1,1178195
UP,Sultanpur,total,vaccinated2,370998
UP,Unnao,delta,vaccinated1,201
UP,Unnao,delta,vaccinated2,948
UP,Unnao,delta7,vaccinated1,26506
UP,Unnao,delta7,vaccinated2,41790
UP,Unnao,meta,population,3110595
UP,Unnao,total,confirmed,15011
UP,Unnao,total,deceased,254
UP,Unnao,total,recovered,14757
UP,Unnao,total,tested,298886
UP,Unnao,total,vaccinated1,1554190
UP,Unnao,total,vaccinated2,420513
UP,Varanasi,delta,vaccinated1,159
UP,Varanasi,delta,vaccinated2,441
UP,Varanasi,delta21_14,confirmed,2
UP,Varanasi,delta7,confirmed,2
UP,Varanasi,delta7,recovered,1
UP,Varanasi,delta7,vaccinated1,38187
UP,Varanasi,delta7,vaccinated2,55104
UP,Varanasi,meta,population,3682194
UP,Varanasi,total,confirmed,85501
UP,Varanasi,total,deceased,971
UP,Varanasi,total,recovered,84528
UP,Varanasi,total,tested,595510
UP,Varanasi,total,vaccinated1,2109381
UP,Varanasi,total,vaccinated2,843905
UT,Almora,delta,vaccinated1,37
UT,Almora,delta,vaccinated2,416
UT,Almora,delta7,confirmed,7
UT,Almora,delta7,other,2
UT,Almora,delta7,recovered,7
UT,Almora,delta7,vaccinated1,729
UT,Almora,delta7,vaccinated2,10440
UT,Almora,meta,population,621927
UT,Almora,total,confirmed,12190
UT,Almora,total,deceased,196
UT,Almora,total,other,614
UT,Almora,total,recovered,11378
UT,Almora,total,tested,84443
UT,Almora,total,vaccinated1,378242
UT,Almora,total,vaccinated2,215715
UT,Bageshwar,delta,vaccinated1,75
UT,Bageshwar,delta,vaccinated2,1286
UT,Bageshwar,delta7,confirmed,1
